code,name,lat,lng,iso_country,iso_region,municipality
BBS,Blackbushe Airport,51.32389832,-0.847500026,GB,GB-ENG,Yateley
BBT,BerbÃ©rati Airport,4.221580029,15.78639984,CF,CF-HS,BerbÃ©rati
BBU,BÄƒneasa International Airport,44.50320053,26.10210037,RO,RO-B,Bucharest
BBV,Nero-Mer Airport,4.643413067,-6.923961639,CI,CI-09,Grand-BÃ©rÃ©by
BBW,Broken Bow Municipal Airport,41.43650055,-99.64219666,US,US-NE,Broken Bow
BBX,Wings Field,40.13750076,-75.26509857,US,US-PA,Philadelphia
BBY,Bambari Airport,5.846940041,20.64749908,CF,CF-UK,Bambari
BBZ,Zambezi Airport,-13.537018,23.108092,ZM,ZM-06,Zambezi
BCA,Gustavo Rizo Airport,20.36529922,-74.5062027,CU,CU-14,Baracoa
BCB,Virginia Tech Montgomery Executive Airport,37.20759964,-80.40779877,US,US-VA,Blacksburg
BCC,Bear Creek 3 Airport,63.57331604,-156.1494541,US,US-AK,Bear Creek
BCD,Bacolod-Silay Airport,10.7764,123.014999,PH,PH-NEC,Bacolod City
BCE,Bryce Canyon Airport,37.70640183,-112.1449966,US,US-UT,Bryce Canyon
